Icon,Name,Description,Generation,BaseCost,BaseCps,CostMultiplierPerGen,CostMultiplierPerAmount,CpsMultiplierPerGen
,Gen 1,,1,10,0.2,0,1.2,0
,Gen 2,,2,10,0.8,30,1.19,0
,Gen 3,,3,10,3.2,27,1.185,0
,Gen 4,,4,10,12.8,24.3,1.18,0
,Gen 5,,5,10,51.2,21.87,1.175,0
,Gen 6,,6,10,204.8,19.683,1.17,0
,Gen 7,,7,10,819.2,17.7147,1.165,0
,Gen 8,,8,10,3276,15.94323,1.16,0
,Gen 9,,9,10,1307.2,14.34891,1.155,0
,Gen 10,,10,10,52428.8,12.91402,1.15,0
,Gen 11,,11,10,209715.2,11.62261,1.145,0
,Gen 12,,12,10,838860.8,10.46035,1.14,0
,Gen 13,,13,10,3355443,9.414318,1.135,0
,Gen 14,,14,10,1.342177E+07,8.472886,1.13,0
,Gen 15,,15,10,5.368709E+07,7.625597,1.125,0
,Gen 16,,16,10,2.147484E+08,6.863038,1.12,0
,Gen 17,,17,10,8.589935E+08,6.176734,1.115,0
,Gen 18,,18,10,3.435974E+09,5.559061,1.11,0
,Gen 19,,19,10,1.37439E+10,5.003154,1.105,0
,Gen 20,,20,10,5.497558E+10,4.502839,1.1,0
